Zone, 250C11, 500C11, WrPr11, OtPk11, BkSc11
Zone, 2011_250m_car_share, 2011_500m_car_share, 2011_work_parking, 2011_nonwork_parking, 2011_bike_score
27200, 1, 1, 0.25, 0.15, 3
27210, 0, 0, 0.25, 0.15, 3
27220, 0, 0, 0.25, 0.2, 3
27230, 0, 0, 0.25, 0.2, 3
27240, 0, 0, 0.25, 0.2, 3
27250, 0, 0, 0.25, 0.2, 3
27260, 0, 0, 0.25, 0.15, 3
27270, 1, 1, 0.25, 0.15, 3
27280, 1, 1, 0.35, 0.15, 3
27290, 0, 0, 1.4, 0.6, 3
27300, 0, 1, 0.35, 0.15, 3
27310, 0, 0, 0.35, 0.15, 3
27320, 1, 1, 0.35, 0.15, 3
27330, 1, 1, 0.25, 0.15, 3
27340, 1, 1, 0.25, 0.15, 3
27350, 1, 1, 0.35, 0.15, 3
27360, 0, 0, 0.35, 0.15, 3
27370, 0, 0, 0.35, 0.15, 3
27380, 0, 0, 0.25, 0.2, 3
27390, 0, 0, 0.25, 0.2, 3
27400, 0, 0, 0.25, 0.15, 4
27410, 0, 0, 0.25, 0.15, 4
27420, 1, 1, 0.35, 0.15, 3
27430, 1, 1, 0.25, 0.15, 3
27440, 0, 1, 0.25, 0.15, 3
27450, 0, 0, 0.35, 0.15, 3
27460, 1, 1, 0.25, 0.2, 3
27470, 1, 1, 0.25, 0.2, 3
27480, 0, 1, 0.35, 0.15, 2
27490, 0, 0, 0.25, 0.2, 3
27500, 0, 0, 0.25, 0.2, 4
27510, 0, 0, 0.25, 0.15, 4
27520, 0, 0, 0.25, 0.15, 4
27530, 0, 0, 0.35, 0.15, 3
27540, 0, 0, 0, 0.15, 3
27550, 0, 0, 0.25, 0.15, 3
27560, 0, 0, 0.25, 0.2, 4
27570, 0, 0, 0.25, 0.2, 4
27580, 0, 0, 0.25, 0.2, 4
27590, 0, 0, 0.25, 0.2, 4
27600, 0, 0, 0.25, 0.2, 4
27610, 0, 1, 0, 0.15, 4
27620, 1, 1, 0, 0.15, 4
27630, 0, 0, 0.25, 0.2, 4
27640, 0, 0, 0.25, 0.2, 4
27650, 1, 1, 0.25, 0.15, 4
27660, 0, 0, 0.35, 0.15, 3
28010, 1, 1, 0.25, 0.2, 3
28020, 1, 1, 0.25, 0.2, 3
28030, 0, 0, 0.35, 0.15, 2
28040, 0, 0, 0.35, 0.15, 2
28050, 0, 1, 0.25, 0.2, 3
28060, 0, 0, 0.25, 0.2, 3
