c Emme Modeller - Matrix Transaction
c Date: 2016-01-24 12:16:36
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mo54   s-0--   0.0 Segment W0                              
   gy12    all  8.343316
   gy13    all  8.985657
   gy14    all  28.52904
a matrix=mo121   s3310   0.0 Segment H3W3LA0                         
   gy01    all  6.873935
   gy02    all  16.94047
   gy03    all  37.03804
   gy04    all  191.6351
   gy05    all  91.40558
   gy06    all   24.1555
   gy07    all  20.38642
   gy08    all  .8363780
   gy09    all  43.71166
   gy10    all  .3302840
   gy11    all  8.569874
   gy12    all  5.049966
   gy13    all  7.578793
   gy14    all  17.68542
a matrix=mo122   s4010   0.0 Segment H4+W0LA0                        
   gy01    all  9.752025
   gy02    all  11.81516
   gy03    all  120.3623
   gy04    all  373.0707
   gy05    all  118.4964
   gy06    all  29.71617
   gy07    all  63.48009
   gy08    all  7.119467
   gy09    all  58.01998
   gy10    all  31.17837
   gy11    all  18.45934
   gy12    all  14.27313
   gy13    all  9.694792
   gy14    all  18.76924
a matrix=mo123   s4110   0.0 Segment H4+W1LA0                        
   gy01    all  46.54957
   gy02    all  80.90824
   gy03    all  334.9153
   gy04    all  946.2877
   gy05    all  405.4931
   gy06    all  158.3379
   gy07    all  160.6908
   gy08    all  30.07573
   gy09    all  278.0159
   gy10    all  48.35914
   gy11    all  63.89649
   gy12    all  59.69151
   gy13    all  16.45384
   gy14    all  85.68638
a matrix=mo124   s4210   0.0 Segment H4+W2LA0                        
   gy01    all  12.31102
   gy02    all  39.82047
   gy03    all    77.132
   gy04    all  454.0511
   gy05    all  246.0252
   gy06    all  87.24386
