t matrices
a matrix=mf1001  24CBLg   0.0 Cross Border Light Trucks 24 Hrs
  41070      3  .0034808
  41070      4  .0006630
  41070      5  .0067958
  41110      3  .0008284
  41110      4  .0001578
  41110      5  .0016173
  42010      3  .0636000
  42010      4  .0108000
  42010      5  .2172000
  42090      3  .0150398
  42090      4  .0025678
  42090      5  .0313635
  42150      3  .0274723
  42150      4  .0046904
  42150      5  .0572898
  42160      3  .0558879
  42160      4  .0095418
  42160      5  .1165467
  42200      3  .0020607
  42200      4  .0002688
  42200      5  .0041214
  42210      3  .0049710
  42210      4  .0006484
  42210      5  .0099421
  42290      3  .0757683
  42290      4  .0098828
  42290      5  .1515365
  42440      3  .1920000
  42440      4  .0084000
  42440      5  .1488000
  51020      3  .0176058
  51020      4  .0035212
  51020      5  .5528213
  51030      3  .0003872
  51030      4  .0000774
  51030      5  .0121590
  51040      3  .0000070
  51040      4  .0000014
  51040      5  .0002196
