TZ,Pp1_11,Pp2_11,Pp3_11,Pp4_11,Pp5_11,Pp6_11,Pp10_11,PpTt11,HtTt11,P1Hh11,P2Hh11,P3Hh11,P4Hh11,Con11,FIRE11,TCWh11,Ret11,Bus11,AcIn11,HeEd11,Emp11,PSEn11
Zone,2011_Pop_0to4,2011_Pop 5to12,2011_Pop_13to17,2011_Pop_18to24,2011_Pop_25to44,2011_Pop_45to64,2011_Pop_65plus,2011_total_population,2011_total_hhs,2011_1p_hhs,2011_2p_hhs,2011_3p_hhs,2011_4p_hhs,2011_Const_Mfg,2011_FIRE,2011_TCU_WhSale,2011_Retail,2011_Business_OthServ,2011_Accom_Fd_Info,2011_Health_Ed_PubAd,2011_total_emp,PostSec 2011 FT Enrl
11150,2.02,109.79,106.62,84.4,0,0,103.2,833.75,247.47,32.26,46.68,81.37,87.16,10.94,6.56,5.2,8.91,12.72,9.55,15.63,69.5,0
11160,51.84,138.09,83.25,135.15,0,0,296.13,1283.51,422.5,55.83,123.36,91.34,151.97,32.33,27.02,16.48,0.81,37.35,0.89,30.12,145.01,0
11170,20.87,1.37,1.4,1.45,0,0,49.68,212.28,80.66,1.34,56.7,6.91,15.71,11.78,2.38,5.29,3.3,6.08,4.36,7.41,40.61,0
11180,2.05,25.26,77.08,64.07,0,0,135.79,611.56,240.61,40.99,106.38,43.49,49.75,6.35,67.32,3.88,209.6,135.85,65.76,152.05,640.81,0
11190,2.06,2.03,2.07,21.47,0,0,367.53,586.34,361.1,184.46,142.71,27.84,6.09,6.35,42.87,48.57,47.94,142.41,118.44,190.18,596.76,0
11200,101.93,201.14,91.54,117.49,0,0,432.35,1637.24,688.64,289.95,130.81,98.45,169.43,5.99,63.49,3.66,2.26,73.2,12.4,412.23,573.23,0
11210,39.02,154,156.67,106.82,0,0,154.25,1253.24,387.66,53.01,87.86,68.73,178.05,7.67,22.2,4.7,2.9,109.5,3.18,191.51,341.66,0
11220,37.71,164.77,173.04,146.07,0,0,241.81,1571.65,522.57,84.46,136.32,118.3,183.49,62.08,51.88,31.65,1.56,71.7,1.72,57.83,278.42,0
11230,65.94,189.74,93.76,108.87,0,0,493.26,1844.37,641.88,95.35,323.52,90.66,132.34,47.39,18.28,3.87,2.38,122.36,32.73,340.6,567.61,0
11240,59.16,191.03,86.37,157.05,0,0,609.01,2046.62,823.86,328.37,227.42,98.38,169.69,124.11,101.05,25.31,2.08,337.29,2.29,357.86,949.99,0
11250,25.1,79.23,60.45,68.04,0,0,1479.68,2577.15,1677.65,1023.52,513.27,79.29,61.56,28.87,373.06,52.99,283.29,347.22,442.69,368.88,1897.01,0
11260,77.38,122.14,248.52,215.17,0,0,1315.51,3810.57,2122.54,1181.66,568.21,214.11,158.56,141.06,326.43,43.15,228.9,316.27,163.67,799.71,2019.19,10
